LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,Neighborhood,HouseStyle,BldgType,SalePrice
24991.51,5,6,1975,1788.15,4,North,1Story,Duplex,290008.92
28095.13,7,5,1980,2022.94,3,Central,2Story,Town,387088.55
23405.84,8,5,2002,1737.95,1,Hill,1Story,Fam,376765.04
30797.12,10,6,1967,2673.38,3,South,Split,Duplex,609060.68
19192.66,9,6,1984,2131.46,2,North,2Story,Town,462292.81
42802.34,10,6,1962,2088.43,3,South,2Story,Town,560085.1
11647.12,10,6,1986,2624.63,3,South,Split,Duplex,574843.47
18304.17,9,6,1988,2055.92,4,South,2Story,Duplex,402681.77
18696.18,10,6,1954,1646.84,2,North,1Story,Fam,465867.65
17049.51,10,6,1995,2812.43,3,South,Split,Town,768162.73
4551.23,7,5,1980,2215.27,3,Hill,2Story,Town,348783.95
31398.26,7,6,1985,1587.94,3,South,1Story,Town,386620.38
86371.12,7,6,1970,1749.56,4,South,1Story,Multi,497829.08
57496.61,8,6,1968,2053.18,4,South,2Story,Multi,500452.63
32361.89,10,6,1977,2857.29,3,South,Split,Duplex,578607.28
100461.19,9,6,1972,2027.36,4,South,2Story,Multi,580067.44
6732.51,9,6,1991,1979.27,2,Hill,2Story,Town,432315.22
4264.39,9,6,1976,2276.83,3,North,2Story,Town,470117.45
18242.36,9,6,1986,2258.75,3,South,2Story,Town,422894.38
14800.85,6,6,1977,2207.72,3,North,2Story,Duplex,309450.19
32349.81,10,6,1997,1610.33,2,North,1Story,Fam,488481.59
20379.38,10,6,2000,1989.07,2,South,2Story,Town,500726.8
35161.84,10,6,1958,2718.37,3,North,Split,Duplex,599485.08
32967.16,10,6,1982,2627.69,3,Hill,Split,Town,631102.41
36865.42,10,6,1966,1928.18,3,South,2Story,Town,543512.77
24957.96,6,6,1988,1804.55,4,North,1Story,Multi,298556.07
49325.81,7,6,1976,1612.64,3,South,1Story,Town,387738.12
4277.47,8,6,1988,2543.66,3,Hill,2Story,Town,348122.51
25766.19,9,6,1972,2360.37,3,Hill,2Story,Town,438716.59
20534.42,10,6,1985,2695.92,3,South,Split,Town,641356.03
13466.47,5,6,1988,1801.4,3,Hill,1Story,Town,266159.42
14335.15,4,6,1997,2217.71,3,South,2Story,Duplex,250530.78
16369.01,8,5,1955,1752.21,2,South,1Story,Town,414646.35
12712.82,10,6,1979,2587.48,4,North,Split,Duplex,726202.53
20719.47,8,6,1994,2213.57,3,Hill,2Story,Duplex,407270.71
88840.19,10,5,1967,3009.32,3,South,Split,Duplex,672528.32
7036.26,10,6,1984,1893.21,2,Hill,2Story,Town,438426.98
31397.21,8,6,1985,2105.68,4,South,2Story,Multi,422996.06
9127.15,8,6,1998,2470.64,3,Hill,Split,Town,360385.17
15432.96,7,6,1991,1556.29,4,South,1Story,Multi,349945.72
49213.38,10,6,1967,2910.92,3,South,Split,Duplex,742415.25
12267.93,9,6,1974,2299.25,3,North,2Story,Town,478617.84
5548.02,6,6,1975,1608.22,3,Hill,1Story,Town,302388.43
39003.94,8,6,1968,1637.22,2,South,1Story,Town,495171.23
36170.23,9,6,1965,2342.84,3,South,2Story,Duplex,484423.61
40663.1,7,6,1978,1949.29,3,South,2Story,Duplex,376701.45
21267.95,8,6,1984,2242.48,3,South,2Story,Town,455070.29
22471.68,8,6,1981,2406.1,2,South,2Story,Town,358105.8
15587.25,7,6,1992,1865.12,2,South,1Story,Town,330646.16
34292.88,8,6,1984,2632.18,3,Hill,Split,Town,455041.96
16520.8,10,6,1968,2606.02,3,Hill,Split,Town,506010.36
33985.06,7,6,1979,1454.45,2,South,1Story,Town,359631.16
13809.79,8,6,1981,2245.22,3,South,2Story,Duplex,380591.7
17223.32,5,5,1978,2260.8,4,North,2Story,Duplex,275930.05
35953.79,7,6,1992,1509.44,4,South,1Story,Multi,412235.99
28129.54,10,6,1961,2420.99,3,North,2Story,Duplex,586584.63
35427.81,6,5,1976,2321.55,4,South,2Story,Duplex,326610.58
30988.55,10,6,1985,2813.3,3,South,Split,Duplex,545410.63
11790.22,10,6,1979,1993.05,3,South,2Story,Town,472745.14
60884.6,10,6,1963,2912.15,3,South,Split,Town,673627.32
16549.89,10,6,1982,1517.88,2,South,1Story,Fam,472638.67
12332.45,7,6,1992,2096.21,2,South,2Story,Town,337456.79
41047.9,7,6,1964,1987.1,4,Hill,2Story,Duplex,341562.88
12041.44,7,6,1979,2309.08,3,Hill,2Story,Town,379627.08
30598.18,10,6,1974,2958.96,3,South,Split,Town,632805.68
37241.53,8,5,1974,2113.98,3,South,2Story,Duplex,474635.8
15004.22,7,6,1987,2334.36,3,Hill,2Story,Duplex,342931.29
57948.73,9,6,1955,2251.79,3,Hill,2Story,Duplex,515135.02
68140.75,4,5,1992,957.83,3,South,1Story,Duplex,308205.88
7792.99,6,6,1993,1606.78,3,South,1Story,Duplex,366194.08
44934.46,8,6,1965,2373.06,3,Hill,2Story,Town,498568.09
29417.79,10,6,1987,2418.0,3,Hill,2Story,Town,550118.09
18658.45,8,6,1966,2148.14,3,North,2Story,Duplex,433026.07
45200.67,9,6,1966,2579.85,3,South,Split,Town,482164.98
17517.71,8,5,1981,2276.72,3,South,2Story,Duplex,392098.23
17181.76,9,6,1964,2509.15,2,Hill,2Story,Town,387139.67
35743.85,10,6,1983,2579.75,3,Hill,Split,Town,690256.3
23453.49,9,6,1968,2127.14,2,South,2Story,Town,506283.56
13117.96,9,6,1992,1956.85,3,South,2Story,Duplex,463502.52
5534.62,6,6,2002,1661.85,2,South,1Story,Town,292061.91
11579.99,6,6,1968,2413.94,3,North,2Story,Town,289987.51
13556.36,6,6,1979,1646.3,3,South,1Story,Town,314637.46
32334.93,5,5,1977,1151.69,4,South,1Story,Multi,330953.74
38788.8,5,6,1963,1064.29,3,South,1Story,Duplex,296266.71
16521.57,10,6,2002,2481.94,3,South,Split,Town,648602.95
