hq_id,dept_id,sec_id,month,hc_g1,hc_g2,hc_g3,hc_g4,hc_g5,hc_g6,hc_g7,hc_g8,hc_g9,hc_g10,territory_potential,discount_amount_total,touches,opps_created,meetings_held,proposals_sent,net_sales,u_s
HQ01,DEPT01,SEC001,2025-01,6,2,5,3,2,2,3,0,2,0,2.441276049189862,18.96646159235122,25,16,11,4,20025.864784480204,0.19166335447300256
HQ01,DEPT01,SEC002,2025-01,3,5,4,2,4,2,0,2,2,1,2.0881225208667837,12.92263012810777,18,12,9,5,34883.92290459099,0.08254267536800512
HQ01,DEPT01,SEC003,2025-01,6,5,7,4,1,0,0,2,2,1,1.8940323318671113,10.345976172704756,31,20,15,9,9401.207280959785,0.44848239337031875
HQ01,DEPT01,SEC004,2025-01,7,4,6,3,2,0,1,2,0,2,1.7584537545335799,10.040096868242436,28,15,5,3,6552.498662331865,0.25974933470797296
HQ01,DEPT01,SEC005,2025-01,5,5,2,2,3,2,1,1,0,1,1.991565355589404,18.481649041121916,11,3,1,1,4002.0198853914835,0.29048350637744424
HQ01,DEPT01,SEC006,2025-01,10,3,2,5,2,4,2,0,1,0,2.6518615535622097,18.821846756096612,27,13,8,3,6851.993986433684,0.5048609314847414
HQ01,DEPT01,SEC007,2025-01,5,12,4,6,2,1,1,1,0,1,3.055683487127198,28.40022072199381,44,31,19,11,23804.49178920661,0.10046550899573245
HQ01,DEPT01,SEC008,2025-01,11,4,2,4,0,2,3,0,4,2,2.767376392075777,32.37741599215268,21,11,9,5,30605.889289969542,0.04882591953150168
HQ01,DEPT01,SEC009,2025-01,4,9,4,4,3,1,2,0,0,1,2.079365195996632,14.383235913019483,23,13,4,2,4349.288997469396,0.17586669940778343
HQ01,DEPT01,SEC010,2025-01,1,6,6,0,2,3,3,1,1,1,3.7249916022780702,38.95797420650125,28,15,7,5,19993.859336485322,0.21336797393785648
HQ01,DEPT02,SEC011,2025-01,5,4,2,3,0,2,5,1,0,1,3.5211739245567157,16.545314167303314,21,12,12,9,46920.64917426888,0.23800417055997755
HQ01,DEPT02,SEC012,2025-01,6,6,0,0,3,1,2,1,1,3,2.570558247904288,22.178694686832,16,7,6,5,21349.93949266756,0.10461752167453127
HQ01,DEPT02,SEC013,2025-01,7,3,6,6,3,0,0,1,1,1,2.16296366708863,15.168381952882358,33,21,12,10,46006.97698732505,0.13870553779937014
HQ01,DEPT02,SEC014,2025-01,3,4,5,4,3,3,3,2,1,1,3.2934965194040955,29.37048233441098,18,13,7,4,17499.410092716727,0.25739276437714614
HQ01,DEPT02,SEC015,2025-01,5,4,3,3,1,1,0,3,0,2,2.903133745967753,47.179441368114006,30,20,15,9,58449.260227607774,0.057391297464484466
HQ01,DEPT02,SEC016,2025-01,8,0,6,4,1,1,1,6,3,1,1.63747506217424,28.68424034936933,28,14,10,4,18111.60541768419,0.3827058970013765
HQ01,DEPT02,SEC017,2025-01,6,2,0,4,2,3,1,3,1,0,2.654368863941651,24.70524019334271,12,6,3,2,12176.204225247462,0.33998616420104416
HQ01,DEPT02,SEC018,2025-01,4,7,3,5,1,3,2,1,0,1,2.979371982636757,27.39931817820193,22,16,8,5,14506.179014983407,0.2758356858004834
HQ01,DEPT02,SEC019,2025-01,8,4,3,2,4,2,3,1,0,0,1.9839837627457886,10.534622810523935,24,18,12,10,60911.58877520442,0.1491482232161292
HQ01,DEPT02,SEC020,2025-01,1,5,5,4,3,3,1,1,0,2,2.9050342710368655,16.03509702576454,22,15,12,9,39517.83670409214,0.042727720821169574
HQ01,DEPT03,SEC021,2025-01,8,6,7,2,4,1,2,1,0,1,1.6336424116351318,10.004913648950733,29,17,14,9,31026.478687621602,0.20714560622033046
HQ01,DEPT03,SEC022,2025-01,5,2,10,6,0,1,1,1,0,0,4.339092110085594,17.289328154493834,29,21,13,8,120345.88591913106,0.12817579390096026
HQ01,DEPT03,SEC023,2025-01,3,3,7,4,2,1,1,0,2,0,4.207137529761213,27.949985567543205,32,20,15,12,70206.96273526235,0.04756190732301427
